,Type,Modèle,Marque,Kilométrage,État,Première main,Origine,Année-Modèle,Nombre de portes,Secteur,Name,Price,Power,Gear,Fuel
0,"Voitures d'occasion, à vendre",Serie 5,BMW,120 000 - 129 999,Excellent,Non,WW au Maroc,2015,5,Hassan,BMW serie 520d Diesel 2015,240 000 DH,8 CV,Automatique,Diesel
1,"Voitures d'occasion, à vendre",classe_gle_coupe,Mercedes-Benz,150 000 - 159 999,Très bon,Oui,Importée neuve,2017,5,Maarif,Mercedes-Benz classe gle 350d pack AMG Diesel 2017,Prix non spécifié,12 CV,Automatique,Diesel
2,"Voitures d'occasion, à vendre",CR-V,Honda,190 000 - 199 999,,,,2009,5,Autre secteur,Honda CRV ,88 000 DH,8 CV,Manuelle,Diesel
3,"Voitures d'occasion, à vendre",H3,Hummer,140 000 - 149 999,Excellent,Non,Dédouanée,2008,5,,Hummer H3 ,107 000 DH,20 CV,Automatique,Essence
4,"Voitures d'occasion, à vendre",Grand Voyager,Chrysler,200 000 - 249 999,Excellent,Non,Dédouanée,2010,5,,Chrysler Grand voyager limited,83 000 DH,11 CV,Automatique,Diesel
5,"Voitures d'occasion, à vendre",Quattroporte,Maserati,160 000 - 169 999,Très bon,,WW au Maroc,2005,5,,Maserati quattroporte f1,Prix non spécifié,24 CV,Automatique,Essence
6,"Voitures d'occasion, à vendre",Tucson,Hyundai,50 000 - 54 999,Excellent,Oui,WW au Maroc,2018,5,,tucson top,275 000 DH,6 CV,Automatique,Diesel
7,"Voitures d'occasion, à vendre",301,Peugeot,30 000 - 34 999,Excellent,Oui,WW au Maroc,2021,5,Sidi Bernoussi,Peugeot 301 30000km,129 000 DH,6 CV,Manuelle,Diesel
8,"Voitures d'occasion, à vendre",Q5,Audi,80 000 - 84 999,Excellent,Non,Dédouanée,2018,5,Autre secteur, AUDI Q5 ,Prix non spécifié,8 CV,Automatique,Diesel
9,"Voitures d'occasion, à vendre",Compass,Jeep,45 000 - 49 999,Excellent,Oui,WW au Maroc,2021,5,,jeep model 2021 Bon état ,Prix non spécifié,8 CV,Manuelle,Diesel
10,"Voitures d'occasion, à vendre",C4,Citroen,150 000 - 159 999,Très bon,Non,WW au Maroc,2006,5,,Citroen C4,49 000 DH,8 CV,Manuelle,Essence
11,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,200 000 - 249 999,Excellent,Non,WW au Maroc,2010,5,Souissi,Range Rover Sport TDV6 pack AB,Prix non spécifié,12 CV,Automatique,Diesel
12,"Voitures d'occasion, à vendre",Formentor,Cupra,0 - 4 999,6,Oui,Importée neuve,2022,5,Californie,Cupra formentor diesel 4/4,450 000 DH,8 CV,Automatique,Diesel
13,"Voitures d'occasion, à vendre",Renegade,Jeep,60 000 - 64 999,Excellent,,WW au Maroc,2019,5,Oulfa, JEEP RENEGADE 1.6l multijet longitude LIMITED,Prix non spécifié,6 CV,Automatique,Diesel
14,"Voitures d'occasion, à vendre",405,Peugeot,250 000 - 299 999,Excellent,Non,Dédouanée,2008,5,,Peugeot 405 pssibele reprise ,20 000 DH,8 CV,Manuelle,Diesel
15,"Voitures d'occasion, à vendre",i 10,Hyundai,160 000 - 169 999,,,,2010,,,hyundai i 10 climat ,55 000 DH,6 CV,Manuelle,Diesel
16,"Voitures d'occasion, à vendre",A1,Audi,40 000 - 44 999,Excellent,,Importée neuve,2018,5,Bir Rami Est,Audi s1 importe ,230 000 DH,11 CV,Manuelle,Essence
